text,aggressiveness
southwest airlines donated a plane to fly homeless animals from # houston . https://t.co/nctld5fkp0 # hurricane,1
if # hurricaneirma category 5 made landfall in cuba and no one reports it did it really happen ? @weatherchannel,0
# hurricaineirma # irma2017 # hurricane # hurrcaneirma # florida rough conditions north side of # keywest from # irma . https://t.co/znbgpyrqbr,1
hurricane harvey is hitting texas even harder than expected . here 's what you need to know . https://t.co/oxram5xvnl https://t.co/bnzdv8od7s,1
student government when you bring hurricane relief donations to our office tomorrow through the 25th https://t.co/ff0lgjfkdx,1
"footprints of charity had a person on the ground in the houston area who lives in the suburb of montgomery , tx to ... https://t.co/pwagcu8h1w",1
"it 's amazing how people can make the hurricane about them . "" here is a photo of me when i vacationed in fl ! praying for you guys ! ! ! """,0
@realpresssecbot still no plan for puerto rico . still attacking people . the latest gop wealthcare bill screwed mill https://t.co/dzbuk5cj5e,0
@brianschatz @maziehirono @rephanabusa what help are we sending to puerto rico ? how can we help ?,1
why is n't donald trump sending aid to puerto rico ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? https://t.co/2t4mbg30ls,0
take a look at trump 's sketchy mar - a - lago insurance claims after hurricanes https://t.co/is4ajrumxs via @govexec # maga # hurricaneirma,0
hurricane donald slams the un all the pusillanimous dictators hide under their desks patriot https://t.co/fqhttvt5dr,0
hurricane irma makes landfall in cuba as category 5 : hurricane irma strengthened and made landfall in cuba as a https://t.co/ahzjux7kx0,1
3.2 quake strikes near san juan bautista https://t.co/t1lesljch6,1
just sent @behearddc 's letter in support of # felixgarcia 's parole to the fl parole commission . # deafaccesstojustice https://t.co/ac5wyvnkw1,0
# jose is on its way out while # maria becomes center of attention . https://t.co/xvsprlypuk,1
hurricane irma update https://t.co/xxckvl8gmh https://t.co/mt6fawf6v8,1
"hurricane irma linked to climate change ? for some , a very insensitive ' question . https://t.co/gqupzdd9dz",1
only building this hurricane need to blow away is salliemae,0
alert . french cameroon army destroying our properties . # freesoutherncameroons # restorationnow @pr_paul_biya https://t.co/s7ww1pacwn,0
flood warning in effect in allendale and beaufort counties until 1215 am # scwx https://t.co/iv20ahpqvi,1
"@cbsnews please give the fear mongering up . hurricane irma is not a threat to floridians , let alone americans .",0
irma has barely started to hit florida . she hasn't made landfall on the mainland yet .,1
flood warning in effect in barber county until 3 am # kswx https://t.co/xih6qlxjrw,1
texas culture is everyone freaking out and posting snaps of the rain,1
"trump needs to send the uss comfort to help , for starters . american citizens are going to start dying in # puertorico https://t.co/xmckpqlyj2",0
"tropical storm watch issued for n. carolina coast , from surf city up to the virginia border , as # maria moves north .",1
dangerous hurricane jose threatens badly damaged barbuda https://t.co/bopklblbhs,1
michael fallon defends uk 's response to hurricane irma https://t.co/vweukamtlu ^guardian https://t.co/wwts6ootcn,1
please keep # dominica in your thoughts and actions . https://t.co/h4rnhlbkzc,1
partial @kissonline reunion set for # hurricaneharvey benefit concert - now at hennemusic @matter_ngo # rock # music https://t.co/qlorvwgcez,1
hurricane irma leaves cuba in ruins https://t.co/cpneus3hgd via @nypost,0
"@realdonaldtrump days after hurricane maria puerto ricans still lack resources . while u golfed , u fucking asshole , they struggled . # impeach",0
# florida : gators & other animals on the loose in flood waters from # irma https://t.co/vgpgdjogjy,1
why would a renter return to a slum after a hurricane ? that s how those hoodrats got to houston from new orleans from jump street . they$$will,0
"as # hurricaneirma makes landfall in florida , i ' m requesting a major disaster declaration from @potus https://t.co/tioylwli0l",0
hurricane - ravaged puerto rico faces new threats cnn news live : https://t.co/6u0dzv8a4p via @youtube,1
@realdonaldtrump you need to make major statement regarding aid to puerto rico ! left is making issue ! what are we doing ? let them know !,1
thank you to all those helping --- critters and people --- we 're all in this together https://t.co/qr7piqh3a3,0
"in case you doubt what kind of flooding # harvey could do , may i present houston after ts allison in 2001 https://t.co/0ojdmgwhsn",1
the latest the katarhol5 daily ! https://t.co/xegslxpgan thanks to @jedqcepe @renhu2 @sniperstryke # harvey # onlinemarketing,1
gov't has been cloud seeding for 75-yrs # hurricanemaria # mariahurricane https://t.co/bjeheyrr3m https://t.co/fqrt5chice -amtvmedia,0
psa : everyone and i mean everyone stay off the roads in new jersey . hurricane lexi 's coming . https://t.co/brvy0jjdgt,1
the latest https://t.co/wmnxraszsr ! https://t.co/k4rlugzsbu # hurricaneirma # neverforget,1
red cross in houston smh https://t.co/ozrwma4s2v,0
"right now , hundreds of americans are siting , or sleeping , on the floor of the airport in san juan puerto rico . no c https://t.co/w7dgrupzto",0
hurricane irma aftermath forces cancellation of indiana - fiu game # fiufootball https://t.co/qglxsbjeq2 https://t.co/pxfidfqoup,0
# noaa https://t.co/3rb6br0p4y rt nhc_atlantic : hurricane # irma advisory 44 : irma taking its time moving away from https://t.co/tqkshlifes,1
houston texans star j.j. watt voted to associated press all - pro ... # nfl https://t.co/8flf423hj4,1
"trump hits puerto rico for "" broken infrastructure & massive debt "" https://t.co/uohb6vkdyg https://t.co/sa5q2jzefn",0
@cbsnews @nbcnews @cnn @abc stop covering the friggin ' football story ( top story of broadcast ) . people in puerto rico are dying . damn you,0
"fuck everyone posting on their snapchat stories pics of a fallen tree or flooding with the caption "" damn "" . we get it irma fucked us up",0
# hurricanemaria likely to hit # bvi tonight / wed . @catholicrelief staff in # tortola . can comment on prep contact https://t.co/eqcks8llkb,1
"sending prayers to puerto rico , barbuda , and all others impacted . we 're in this together . be kind to one another , including your critters !",1
powerful but this is not a # irma evacuation from florida ... just look how dated the cars are ... another swing a https://t.co/ym8pcvlbsp,0
they would rather waste money on this while areas still need hurricane relief https://t.co/aermxym3zf,0
team integrity is raising money to support the victims of hurricane harvey through convoy of hope . please join us . https://t.co/x8lk5oayrb,1
( ks ) flood warning issued september 25 at 4:00pm cdt until september 25 at 9:30pm cdt by nws https://t.co/9wegdoephv # kswx,1
british virgin islands before and after hurricane irma https://t.co/ormld0jvn7 https://t.co/pk5jtyjigq,1
"after hurricane katrina , sean penn brought a big hoopla about nothing to the people of new orleans .",0
stop talking right now about the threat of climate change . it 's here ; it 's happening | bill mckibben https://t.co/bgsafgpwww,0
irma shelter in chattanooga draws florida residents . https://t.co/yjzxot6zyq,1
"florida sex offenders told to seek shelter in jails and prisons , or leave state during hurricane irma - newsweek https://t.co/y7vkpcclc0",0
strong t - storm near harrison or 7 miles nw of wrightsville moving s at 10 mph . up to 40 mph wind small hail ... # gawx https://t.co/1vlylrdaf3,1
everyone in texas getting lifts ! we live and learn ! # texasstrong # texas # houston https://t.co/q7dhvzi4oq,1
flood advisory in effect in caddo and canadian counties in ok until 230 pm # okwx https://t.co/sskdl8y5il,1
so nice to see # jaypeebuyers rejoicing the sc relief . hope this paves for us as well # saveramrapalibuyers @aditee https://t.co/nk0ewpuelv,0
what the fuck there s another hurricane????hurricane maria ? that s like 3 hurricanes in a span of a month that s fuckin crazy,0
"@mreneesloan trump , however , is hurting millions of people . puerto rico needs his help . flint still does n't have clean water .",0
"advertisement for @gfuelenergy and @faze_rain flavor "" tropical rain "" hd - https://t.co/wgaqifvrom support is apprec https://t.co/7bbuzsjdsb",1
"@breakingdtrump @realdonaldtrump ... provide for itself . remember , federal aid has to be distributed to texas , flori https://t.co/izx9qme9gh",0
how 's that free market thing working out for y'all ? trump sides with texas churches suing fema over relief funds https://t.co/sa20lrejo2,0
weather : rip current statement issued september 20 at 8:46am edt until september 20 at 9:00pm edt by nws ... coastal flood advisory now in e,1
"it 's wrecking havoc on the forecast for the north atlantic , huge differences in system formation 7 - 10 days out for https://t.co/oxjfcoiwdw",1
# live : @janetjackson is meeting with evacuees and victims of # harvey in downtown # houston # texas https://t.co/59aqr4yo5c,1
half of america wants the other half to die in a hurricane # trending # trendingnews https://t.co/ziijutczgs https://t.co/ah1eoq1wm0,0
@cococagg70 @brianschatz @mommyof3lal .@lisamurkowski @senatorcollins please vote no on this latest version of tru https://t.co/cqihi3eafi,0
there should be a thing that connects people with skills to make things with efforts to provide things re : emergency relief .,0
"3 democrats , 2 republicans , 1 cause : 5 living former presidents stand together on harvey relief . kudos to all potus . https://t.co/pxk2iw0d5r",1
hurricane harvey bilingual customer service-$17.80/hr https://t.co/fryuyuzyry,1
latest update on hurricane irma with links to resources https://t.co/u6v9dv6rae https://t.co/pnox58cc0t,1
y'all literally used this same picture for houston and hurricane harvey . smh . fake news mf https://t.co/yrwzkvgm7b,0
@iamwandasykes @latestanonnews @realdonaldtrump dear wanda go there and help the yourself fema has already gave the https://t.co/zpqiguvnt4,0
"@gabbyzapata @crayonbot03 @cliobablio now if only puerto rico was n't completely without power in most areas , buried https://t.co/yiqtjnsrdn",0
just delivered 1000 # wildernessathlete e&f and h&r singles to phoenix fire dept . their # fema rescue team is headed https://t.co/qeam8yreol,1
"sept. 11 , 1946- the first long - distance car - to - car phone conversation occurred between houston , texas and st. louis , missouri .",1
some college students in florida were left scrambling for a place to stay as dorms were evacuated https://t.co/il2b6l2v6o,0
hey @theellenshow our principal left today from nh to drive a camper full of supplies to houston for donation ! # pelhamproud # allaboutthelove,1
# gameday # texans attending nfl week 1 / jacksonville jaguars at houston texans # jaxvshou at nrg stadium https://t.co/u04vumuoc8,1
weather chat : hurricane # maria is pounding puerto rico at this very moment . watch what happened to their radar https://t.co/p7wqinugjt,1
this is outrageous ..... the burma muslims are being slaughtered and qatar is helping usa .... hugely disappointing s https://t.co/r28wdevepi,0
"now - sept 10th , 100 % of dear clark hair care product proceeds will be donated to the victims of hurricane harvey https://t.co/fff07w4a0c",1
hurricane irma : florida sheriff who threatened arrests at shelters is sued - orlando sentinel https://t.co/3u8qeebhsj,1
i 'm raising money for hurricane mara destroyed everything . click to donate : https://t.co/tqe8dmu7cs via @gofundme,1
the arizona senators and 15 of their gop colleagues voted against help for harvey victims https://t.co/iqycknlqki via @shareblue,0
"@breakingdtrump @realdonaldtrump ... provide for itself . remember , federal aid has to be distributed to texas , flori https://t.co/izx9qme9gh",1
@thewaryfox @trackresponse yep was so glad to see all the help my birth city got after harvey and then the response https://t.co/hzcvqhev1a,1
loser @realdonaldtrump victim blaming as usual . https://t.co/qoqutdf55n,0
will puerto rico be trump 's * katrina * ? https://t.co/rp6mysrmlj,0
"@alesso https://t.co/fkznvutysg interestingly , "" thoughts "" were n't mentioned ... despite being about hurricanes , nat https://t.co/6dmxlba0yh",0
"based on the headline , fully expected that this was going to be one of the cove women # covelife https://t.co/musep071iw",0
@derekcressman prs got ta get in line . still waiting on his hurricane sandy donation,0
@weatherchannel the computer simulations of the effects on a house at cat levels and storm surge are excellent . puts all in perspective,1
"can not be overstated : a "" downgrade "" does not matter in this situation . catastrophic flooding still expected through weekend in tx . # harvey",0
"# gop silence . dotard sent 2 senior officials to assess the damage in p.r. do you have eyes , a brain , functioning ne https://t.co/sse1sd0vh0",0
"trump just tweeted about churches receiving federal relief funds , got brutal response https://t.co/dz89mlxzcm https://t.co/dz89mlxzcm",0
"humanitarian crisis takes precedent over puerto rico fiscal recovery , debt restructuring https://t.co/w9fknbfysd - https://t.co/4tprllas6q",0
"# trump tweets about # puertorico problems , as feds rush aid https://t.co/zdrkuyrhur # hurricanemaria https://t.co/68dny9ep9p",0
"a friends uncle 's store here in houston . if you are nearby and need some mail services , he 's the man to go to ! su https://t.co/h4crnhysib",1
".@redcross denied my mom aid for harvey relief , she got 7 ft of water . i 'll never donate again & will tell friends & family to do the same .",0
@talkthirty doing damage on our instagrams to fight this deadly @lindseygrahamsc & @billcassidy healthcare bill . ou https://t.co/a0tednz4ag,0
don t blame climate change for hurricane harvey s destruction : denver post : writers to the https://t.co/rchdhaarzw,0
i wonder how the future dtic report will read on how the @usnavy responded in the aftermath of # maria in pr & usvi . https://t.co/xirupxz5cl,0
all i can keep thinking about during # irma ... hahaha # ifnotforthehurricane https://t.co/qjpakkf6vy via @youtube,0
@chefjoseandres flew to puerto rico to feed hurricane victims & our own president just says they were ' already suffering ' . be a solution !,0
"trump today : trump today : president blasts nbc after moron story , says puerto rico debt should be wiped out https://t.co/z9v0qeglou pres",0
"clearwater beach be safe . sending love , prayers and hope florida is hunkered down .. # clearwaterbeach # florida ... https://t.co/kkdz06ncj4",1
we have treated pr shamefully for 100 years exactly ... like a colony . how horrible r our politicians who still think https://t.co/m2lwtwxp6l,0
military logisticians prepare for hurricane # irma # hitechcj # florida https://t.co/borsp9qdyh,0
support hurricane relief when you buy a 16 pepperoni pizza - we are donating a portion of sales for each sold!#houstonstrong # ourcityourpizza,0
trump defends nfl tweets amid puerto rico crisis : ' i have plenty of time on my hands ' https://t.co/crvk4mkhmx via @yahoonews,0
hurricane harvey first responder gets flesh - eating bacteria from texas storm water - time https://t.co/2vc6vetrhi,0
retweeted the weather channel ( @weatherchannel ) : # harvey has weakened to a cat . 2 with max sustained winds of ... https://t.co/ezfcu3m8cv,1
"heavy rain headed into downtown now . heaviest rain extends from caldwell county , through travis , and into burnet co https://t.co/qgrbor2ucj",1
science ca n't accurately predict path of hurricane yet we 're supposed 2 believe they can accurately forecast https://t.co/dfgagymkea,0
by the end of the week i will be back to where i was before that fucking hurricane .... let 's gooo ! https://t.co/mf4h17zzpx,0
i liked a @youtube video https://t.co/sbquhnq7w8 the hurricane is coming to destroy me ...,0
.@wsvn @7newstif # miamiseaquarium refusing to respond to queries - no transparency / news on plans for lolita # irma https://t.co/rgihgh6axr,0
"author of article 50 calls for brexit to be halted , warning of disastrous consequences https://t.co/p9vkkgmcnb",1
@mickieshaw77 @chrislhayes @armandovaldes @msnbc my home was without power for three days after the hurricane passe https://t.co/i79lciu980,0
failing puerto rico dam pushed to breaking point . # d25 https://t.co/vi7ps37ppb,1
3 ways to use # ginger to get relief from # arthritispain naturally https://t.co/vmt1wc7tac https://t.co/quz8nxv2xc,1
can i go into another dimension like in @rickandmorty where hurricane maria is not happening rn ...,0
irma getting to us all https://t.co/ib5tmlwsxd,1
"jeff duncan voted against harvey relief , consistent in his heartlessness https://t.co/mmtdey5xa5 # mary2018 # countryfirst @scdp # flipthe3rd",0
back to high ground & out of the wind . power lines coming down and arching big time . # harvey that was scary ! https://t.co/wegsd3bltk,0
"kids still out of school due to hurricane harvey , they are better off not in those public schools",0
"land development manager - houston , tx , , usa # jobs # houston pls rt : job description : land development manager based https://t.co/tlvahoeqgj",1
"due to # hurricaneirma , flights will be impacted to & from florida . travelers are advised to check their flight status .",0
read how we put our call center agents first at houston methodist to give patients the experience they deserve . https://t.co/igqkitxhql,1
"a sad state of affairs . the us government will have to do something , because the wealthy tax - dodging expats are nt https://t.co/j7f3p8budo",0
sigh of relief https://t.co/mxedirr4nv,1
"@jmgarciarivera @ericholthaus the "" smell "" also of tragedy and human fragility # maria & a call to action to understa https://t.co/azfmovnbc9",0
our mayor @sylvesterturner vows to represent daca recipients himself if anyone f*cks with them in houston- sanctuar https://t.co/zxtciao6iq,0
how to donate money and other i 'd to communities of color in houston https://t.co/ldfqigeijp via @colorlines,0
texas governor rejects immediate use of reserve fund for houston https://t.co/4dbnpnpwi3 via @reuters # domesticnews,0
update : irma hits # cuba with category 5 hurricane force | care canada https://t.co/2dwwyndewm @carecanada,1
@realdonaldtrump duh the mayor of puerto rico continues to plea for help while you moved on . not white wait in line https://t.co/5ewnkuhhrt,0
"houston news(1)still 70,000 people are without water and another 380,000 need to boil water because their supply may have been compromised .",1
livingonchi : # geoengineering .drdurnford 7/25/16 # fukushima reactors damage vs # greenpeace version of damage https://t.co/7fjidf0p55,0
listen & learn w/ @naomiaklein ' disaster capitalism ' and the attempts to privatize # puertorico https://t.co/4jnlf3pppt @thetakeaway,1
"heads up , i am super - pressed for time due to preparing for maria and whatnot , so i am forced to close commissions . https://t.co/7zcvu7w8x5",0
"hurricane irma restrengthens to category 4 , moves faster as it closes in on keys and florida 's gulf coast https://t.co/bdazjgrocu",1
[ northeast houston ] snorlax ( m ) ( iv : 44 % - cp : 136 ) until 10:00:47pm at 9242 bean st https://t.co/waffqqv5sj https://t.co/pumzmahwdi,1
houston after harvey https://t.co/9f3zkwhjcn via @curbed,1
need 2 set reminder on phone ! trying 2 donate photo every day . keep 4getting . # jnj @donateaphoto # hurricaneharvey https://t.co/jog9l7jr1o,1
wrap it up fam do n't let this hurricane affect your life for the rest of your life https://t.co/hrnuihgnvq,1
breaking : white oak bayou has spilled over its banks in the houston heights as pounding rain continues # houwx https://t.co/vwxnbucrym,1
what s the difference in our pain relief cream ? # painrelief # paincream # capsacian # cbd # terpenes https://t.co/fojmjapsvd,0
latest news today about hurricane irma 9/9/2017 https://t.co/yhnnjxguuw,1
"what a joke , trump is so unprepared for a disaster like irma .... wait , what ? ? ? https://t.co/quvalfgy9z",0
weakened hurricane irma takes aim at tampa -- live updates https://t.co/q5omnv6jxe,1
what a heartless person wanting to protect vulnerable families from guilty criminals ... https://t.co/zpwtcdap36,0
florida # hurricaneirma help is on the way ! @customsborder heading to @cbpflorida for disaster assistance response n https://t.co/rap7pzhsxa,1
"@kkweit thanks ! evacuees from san juan , st. thomas and st. croix will be brought to ft . lauderdale . - nate",1
latest on # hurricaneirma | the write stuff https://t.co/bb2pkbfecl https://t.co/drz4uppwrv,1
@donaldjtrumpjr death in puerto rico on trump !,0
president trump and first lady melania trump land in houston for their second trip to the harvey disaster zone https://t.co/n54easlrfc,1
hurricane irma strengthens back to a category 5 as it makes landfall in cuba - https://t.co/skovqe26ua,1
hurricane irma strengthens back to a category 5 as it makes landfall in cuba - https://t.co/skovqe26ua,0
"today - sunny , with a high near 82 . east southeast wind around 5 mph . https://t.co/hva9sx7gri",1
failing puerto rico dam pushed to breaking point . # d25 https://t.co/vi7ps37ppb,0
"kids still out of school due to hurricane harvey , they are better off not in those public schools",1
hurricane maria 's core expected to reach puerto rico early wednesday https://t.co/be2gz91fwp,1
"it 's too bad you 're not president with power to send in the army , navy and marines to help these ... oh ! right . https://t.co/ylmxkpgjzr",0
first responders file suit against arkema over ' serious bodily injuries ' in houston chemical plant fire after harvey https://t.co/00d1hxd4o7,1
only one radio station in # puertorico was left able to broadcast after # maria . @waparadio 680am is now a lifeline . https://t.co/uibqyu1vc9,1
if it 's not calling nfl players sob 's or uninviting the warriors to wh it 's ripping pr for aftermath of hurricane https://t.co/vfpzky4wjd,0
hurricane harvey triggers # texas petrol spill # harvey https://t.co/kmhufldokz,0
# breaking : hurricane irma 's northern eyewall hits florida keys via @twittermoments https://t.co/yt9rehggmk,1
proud of indian community in # houston which is well on it 's way to meeting its target of raising us$ 1million for https://t.co/fap4byfnku,1
hurricane irma destroys naples florida footage 9/10/2017 https://t.co/fnvkira4h7,0
why is the president more interested in a pissing contest with north korea than helping the people of puerto rico ? # pray4puertorico,0
"i like this nfl hurricane relief "" remember what a president used to be "" ad . # nfl # presidents # impeach",0
"@pascosheriff only in florida , they got a category 4 hurricane and their first instinct is to shoot it . if that 's https://t.co/mgbwgeutou",0
"we 're on the ground in the dominican republic and haiti , ready to respond to hurricane # irma . https://t.co/2uo3iwfrl5",0
"yes , please ! to those 1 % , spoiled and pamper millionaires players of nfl goes this message . https://t.co/q2ioi2pjza",0
"gay people to # blame for # hurricane harvey , say # christian # leaders # africlive https://t.co/v6g6yq1nid https://t.co/apvmjdiebx",0
if ur interested in donating supplies/ money ( for supplies ) for puerto rico pls contact me,1
@realdonaldtrump what an embarrassing speech . and you never mentioned putin . did you mention hurricane maria ravagi https://t.co/ewhhpwbfm2,0
the weather channel live stream hd live coverage of hurricane irma https://t.co/y9efggqbcg via @youtube,1
( press and journal):#scottish firms fear financial storm : confidence among scotlands .. https://t.co/8dgkqnl93c https://t.co/vg8xfjgpka,1
@nbcnews i felt ashamed that the president of the united states spent this weekend focusing on nfl protest instead https://t.co/lkpq3qpzt9,0
"now heard every night on "" the quiet storm "" on various commercial radio stations in the uk . https://t.co/veejdxh8xi",1
"strong t - storm with small hail , gusty winds , & heavy rain will affect sw anson county until 715 pm . at 609 ... # ncwx https://t.co/vwtfg1rir3",1
memes poke fun at texans ' embarrassing loss https://t.co/vogpvb9enb via @houstonchron,0
trump admin . efforts in puerto rico will be hampered by lack of leaders in key gov't agencies . direct result of poo https://t.co/za2qzik157,0
"see our latest # alachua , fl # job and click to apply : service supervisor - cmv - https://t.co/w7qqrziprr # cintasjobs # service # hiring",1
"trump praises rescue efforts , says puerto rico has thrown budget "" out of whack . "" https://t.co/d7oxfoeuv3",0
hurricane harvey will dampen # texas real estate market for the rest of 2017 https://t.co/p7krhmszgl # realestate https://t.co/2so9wm9r0m,1
pos asshole # trump re puerto rico crisis : island has massive debt that must be dealt with : https://t.co/jytjfy2qax,0
"now , shut the fuck up about football and donate to the relief efforts in puerto rico . https://t.co/m9ssjtaaic",0
"warning : scammers make sound like cat terrified under car , lure you to rescue in storm , get soaked . frogs ! # truestory # irma # gainesville",0
pharaonic plagues eg hurricane harvey ( not me ) & bushfires have reduced usa to budalangi flood status . they have no time for a black man war,0
a little spa treatment before the hurricane ! # fuckyouirma @ arbor https://t.co/ya5zzrtnez,0
help them ! so devastating . https://t.co/d4s5eokwnt,0
this is not nearly fast enough . this is going to become a humanitarian crisis by the end of the week . aid request n https://t.co/x6aze0sxix,0
# hurricanemaria winds are now at 175 mph . my beautiful island is going to get hit hard . please # prayforpuertorico an https://t.co/5zlkpjtbqr,1
# sendthecomfort defense secretary james mattis : usns comfort to puerto rico to aid fellow ame ... https://t.co/bex5v1g9sp via @change,1
forget about getting basic services to people in puerto rico there are clear violations of the flag code going on here in the usa # benghazi,0
"searching for owner of displaced dog found in runge , texas . # harvey # pets . https://t.co/ydkmrywisd",1
hurricane irma batters cuba https://t.co/ajtfbfhoav,1
1 . we all want to help . continuous # thread for verified donation agencies . # houston # harveyrelief # houstonstrong # houstonfloods,1
"due to # hurricaneirma , flights will be impacted to & from florida . travelers are advised to check their flight status .",1
"rt cnnbrk "" the national weather service says the winds from # hurricaneirma have neared 90 mph at their key west of https://t.co/sqoq4veba5 """,1
tornado warning in effect in brevard county until 630 am # flwx # hurricaneirma https://t.co/xtn7ypmotr,1
"hurricane harvey is responsible for stranding four cruise ships and 20,000 + passengers https://t.co/rkpzu0ffna https://t.co/z1irpue3yo",1
"check out this post in the news vibe : "" country superstar kenny chesney helping others after losing home to irma "" https://t.co/vymfhot336",1
# texas tribune coverage : # houston 's recovery | el paso herald - post https://t.co/hjvuzblijg,1
water comes back to # bahamas shores after being sucked away ' in reverse storm surge ' https://t.co/iuey6jgebt rt ( rt_com ) september 11,1
makes no sense to put these journalists in these dangerous situations . shoot footage from safe places . safety 1st . https://t.co/krfonsf8nq,0
i liked a @youtube video https://t.co/ejs0xgluzc nani ? ! ? hurricane irma & jose dank memes compilation,1
our @tegna sister station @khou is a good follow to keep up with the latest in texas as # harvey keeps dumping rain . https://t.co/7qeptd61cf,1
sadly more concern about wallstreet $ $ than american citizens facing a humanitarian crisis in # puertorico ! https://t.co/1qimwsf3dq,0
hurricane irma annihilates st. martin 's world - famous airport https://t.co/scltkotjls via @nypost,1
"# donaldtrump signs bill for # hurricane harvey relief , debt - extension https://t.co/j63inajecc",0
wall of water rises above windows of miami jewellery store following hurricane irma https://t.co/ib7hutu8je,1
bonus points to this genius for claiming hurricane intensity records are the same as hurricane frequency . obfuscat https://t.co/iztifzvm7i,0
dying in a hurricane https://t.co/81cujmhsaa,1
local withernsea male to appear at hmc re 9 offences of criminal damage to vehicles and property . thanks to the public who contacted us .,0
housing applications will now include a question about how long you can tread water & how well you can clean debris in case of a hurricane .,1
oil price fundamental weekly forecast hurricane irma could sharply reduce demand for energy https://t.co/bb6fnmi255,1
great life hack for all my peeps in the path of # hurricaneirma # besafe https://t.co/gg2qpz0urs,1
irma 's winds snap 3 cranes at south florida construction sites - pittsburgh post - gazette https://t.co/f9uc8yw01d https://t.co/2wfx4iptah,1
conspiracy fact ? hurricane harvey survivors taken to wal - mart fema camps # preppers # prepping # survival,1
the storm 's general direction is towards northern luzon . please be updated for further developments .,1
