text,contempt
tomasz @schafernaker is in tampa stood outside during hurricane irma tomasz @schafernaker is a dick,0
houston honors fallen houston police officer https://t.co/brfzttl0yc,1
https://t.co/18q5w1w4qa : myanmar says security forces told to avoid collateral damage in rakhine state https://t.co/bclwkxb6y7,1
"come ' on now . they 're in all the storm books . the coast guard 's "" unsung "" every hurricane season , too . https://t.co/siatj47ckt",1
# puertorico ca n't wait for trump & gop in congresses to get off their arses & send aid . we must help . donate > https://t.co/xre2h7xckg,1
by the end of the week i will be back to where i was before that fucking hurricane .... let 's gooo ! https://t.co/mf4h17zzpx,1
"just in : # hurricaneharvey supplemental , debt limit increase passes the house of @us_houseofreps . government funded through december 8 .",1
. @realdonaldtrump let 's honor the flag by sending relief to the 3.4 million americans in puerto rico who need our help .,0
"puerto rico 's massive need for support and disaster relief > trump 's race - baiting , divisive trolling of the nfl",0
@greenfield64 hey jeff a hurricane hit puerto rico ! you ok now,1
"sacred heart church on pearl ave in lorain accepting donations , canned food , water , flashlights , batteries , hygiene items for puerto rico",1
hurricane irma 's eyewall slamming key west . # hurricaneirma # florida # keylarg ( pls rt ) https://t.co/gobfa46p8b,0
"stress relief yoga training program @ work place , relief from major chronic disease like diabetes , b.p , insomnia , o https://t.co/utqoheczwb",1
hurricane # harvey is environmental white supremacy . unfairly targeting non - whites . i blame the orange cheeto drumpf . # prayfortexas,0
how you can help people affected by hurricane irma https://t.co/eya1utozry,1
there is no such thing as climate change people ! ! ! ! now let me get ready for our 78th hurricane this year .,0
"millennials are fighting a future of hurricane harveys""we are building a generational force to be reckoned with . "" https://t.co/gupdfysoup",0
watching the weather from # harvey but still wanting to watch manchester united . thank you local news ! # mufcvlcfc https://t.co/ixqbf5xcgy,1
"sacramento trends now : hurricane harvey , davis , first day , russian , trent . https://t.co/s3crxuepuq",1
photos reveal dire situation unfolding in puerto rico after hurricane maria via mashable https://t.co/xtbd072cgw,1
"trump goes on the defense , blasts critics on puerto rico and nfl - https://t.co/qyvoa15sya",0
hurricane # harvey is environmental white supremacy . unfairly targeting non - whites . i blame the orange cheeto drumpf . # prayfortexas,1
looking forward to the launch of bank holiday hurricane by @kellycreighton at the fab @aspectsfestival on sun . https://t.co/k1zqsgwnwc,1
.... you try standing in 100 mile per hour winds in the pouring rain and accurately describing the horrors that a h https://t.co/2uctczneyk,0
trump is attacking hurricane victims . i think it 's about time for us to wrap this presidency up .,0
i hope everyone is staying safe still in this storm .,1
"@evpatriotband raised $ 1,000 for families rebuilding after hurricane harvey ! texans helping texans @eastviewhs https://t.co/yxyr3xgetc",1
drone flies over houston hurricane harvey blackhawk helicopters | dronesport - https://t.co/lcbsdcue4r # drones,0
at&t waiving overage charges for customers impacted by hurricane harvey # attemployee https://t.co/uuybvmdfhj,0
i walked through a hurricane for some wifi . in other words i reached my peak as a millennial,0
"# numainstream # trendingnews # trendingtopic : hurricane irma is now heading towards west florida , and there 's no ... https://t.co/ttfpwmdt20",1
""" beyond business growth . "" amazing to see the # hubspot partner community opening their homes to one another . https://t.co/bflq0ccxbv",0
"that the folks who most aggressively deny human effect on climate , believe most fervently in power of prayer is ... https://t.co/ntotm5xgol",0
it 's so sad that there are fishing emails pretending to be hurricane irma reliefs,0
the alexi lalas rant has lasted longer in the national news cycle than hurricane harvey ! still all over american soccer podcasts .,0
"irma batters # cuba , flooding resorts and toppling homes # hurricaneirma https://t.co/nfcltd2eho https://t.co/a78ood4kuv",1
@turin_aviation here is what 100 k lbs of lift looks like ready to carry tons of badly needed relief supplies and a https://t.co/vllfktvz0i,0
"these images are stunning and heartbreaking . please , if able , consider donating to relief efforts . i 'm giving to https://t.co/pkoq5pk80k",1
why are there tornado warnings happening at 8:29pm with an expiration of 8 pm ? ? ! ? please update your alert @flsert @weatherchannel # irma,0
medicare covering disaster relief now ? https://t.co/epyjnvmu5o,1
hurricane harvey : airline flies plane of animals out of texas to safety https://t.co/nxjesk3ikt via @yahoonews,1
# startrekdiscovery walk in sand to produce insignia logo . wtf ? how 'd they see that from outer space above massive clouds and storm ? ? ?,1
"imf says egypt on track with reform program , inflation fight - miami herald https://t.co/bzvok1tkj9",1
not blaming the us for the storm but i am blaming the us for the destruction of the puerto rican utility infrastructure,0
@undisputedc07 @chandler_bang @former_legend and look at how many storm guys in this tackle . disgrace https://t.co/psp8wptxlc,0
@laughsatdanger holding positive thoughts for your safety and well being . # harvey,1
"burke alert : here 's townhouse # newlisting in burke , virginia that just hit the market burke https://t.co/oqydnvxzka",1
hurricane irma leaves cuba in ruins https://t.co/cpneus3hgd via @nypost,0
"we went through this yesterday . all our band members , theirs and my family and pets , are all safe . https://t.co/vbtncucita",1
"but it still sucks and i wish i could do more than this , but my heart goes out to folks and their families dealing with the storm right now .",1
if you are donating to houston or other areas where natural disasters occur pls do n't forget about those who are incarcerated ! !,1
@holybibletoday thank u god for murdering all the ppl with this storm u have so far . the children who painfully die https://t.co/x9abikbkox,0
"as we watch catastrophe in puerto rico and usvi , do n't forget that these are american territories that have been ignored by congress .",0
"they do not care about floridians , they want to be the first to catch a video of us floating in the water . the same in houston # media",0
hurricane harvey relief underway here at our sw campus in houston ! thank you @sheamoisture for your generous donati https://t.co/8dyhztaes0,1
"irma weakens to tropical depression , heavy rainfall expected to continue across the southeastern united states , per nws ( nbc )",1
"' houston ceos race to mend a battered workforce ' - kudos , your people are your most important assets ! https://t.co/sp23rbhky8",1
@pamamuses @ajdorsey @brianefallon the media is n't reporting the relief effort because trump did n't do the fluffy f https://t.co/mghshtlgyn,0
the latest nerdly - tech stuff ! https://t.co/w1lzecy9wm # equifax # irma,1
maria makes landfall in puerto rico as a deadly cat 4 hurricane https://t.co/y1rui1rph1,1
"hurricane irma : florida deputy , corrections sergeant die in head - on crash during storm https://t.co/hevt6o3a6o via https://t.co/tjflrkvbtc",1
# trump is excited by 125 mph winds of # hurricane # harvey in the way that a child is excited by his toys ! disgusting https://t.co/51o7mo73ns,0
"# beauty wen by chaz dean sweet almond mint cleansing conditioner , 16 fl . oz . https://t.co/uubxmlpdhj https://t.co/mptvjtt0l7",0
"marriott boat refuses to rescue non - guests , tourists stranded in hurricane irma https://t.co/njmapch24l",0
"white house says its military response to irma is unprecedented , but there 's a history of similar operations https://t.co/k4m7d3z4i0",0
# chemtrails v # christians : https://t.co/17scvnlobm. # nasa wants to ' own ' the weather as weaponry . # harvey means ' battleworthy ' . # eotw # nwo,0
preliminary news is that staff sheltering at @naicobservatory are safe . some damage at telescope -- one of the line feeds is gone -- but ...,0
@billmaher the comment about houston taking federal aid when not believing in climate change is off because the big cities in tx went 4 dems,0
three accused of looting in west palm beach after irma hits state https://t.co/9ia3hdrnh0,0
the latest : florida cancels football home opener for irma https://t.co/git4tgvl1a # smartnews,0
everyone should watch the longterm # health impacts of # floods video at https://t.co/e2mgrwcdzf # maria https://t.co/khvn6o3bdu,1
"see our latest # alachua , fl # job and click to apply : service supervisor - cmv - https://t.co/w7qqrziprr # cintasjobs # service # hiring",1
"cnn 4:03am i hurricane irma 1 naples fl . . patfranva 1 annu 9'2 "" "" : hurricane irma i. a i",1
"hurricane harvey , climate change denialists and the wrath of the right . https://t.co/qgs0odsalo via @natcounterpunch",0
garbage take : blue check calls miami p.d. white supremacists ' for arresting looters during # irma https://t.co/gpncgpkf7y via @twitchyteam,0
@flotus and those being scoured off the earth by # maria,0
humanitarian disaster involving 3.4 m americans playing out in puerto rico as @realdonaldtrump tweets about anthems https://t.co/m4rlchm0ly,0
@jimmykimmel florida republican governor rick scott was responsible for the largest medicare fraud case in history . https://t.co/syhuomlm63,0
# usatoday rt callergabe : some port aransas residents staying at the local shelter # hurricaneharvey # harvey # harve https://t.co/hy4bzkx90q,1
# cnn # editionworld why storm surge is a hurricane 's greatest threat https://t.co/nvzxtzjo5s,1
"in coral gables , residents plan to ride out irma on boats - these people are assholes . https://t.co/eimwawdejz",0
mynews13 : # hurricaneirma is a storm for the record books . https://t.co/iam8lyy7tc . https://t.co/kclfzufxzq,1
irma looters busted after getting filmed by tv crew https://t.co/lhe042efnw via @yahoonews,1
"no food , no water , no presidental photo op # trump tweets against americans while citizens suffer https://t.co/mabwfabymc",0
https://t.co/ycuyepy9je arriva wales2e31 17:35 swansea to carmarthen,1
texas republicans voted against harvey relief bill ? ! https://t.co/kbazp6ss5a,0
"@realdonaldtrump days after hurricane maria puerto ricans still lack resources . while u golfed , u fucking asshole , they struggled . # impeach",0
"after hurricane harvey , isis supporters call for attacks on houston relief centers https://t.co/fpksamwpww",0
"sos @tuckercarlson @potus 9,000americans on pr island of vieques . no fema n red cross coded wrong # helpusavevieques https://t.co/meyjp0mfvn",0
latest update on hurricane irma with links to resources https://t.co/gjx1v4q82b https://t.co/ff9lxvkwnk,1
@repjoebarton just voted against relief for texans recovering from a natural disaster . # texas does he represent yo https://t.co/uu2gzwexum,0
@kriseman prayers for everyone in the path of hurricane irma,1
most of puerto rico 's 3.4 million residents are still without electricity five days after hurricane maria struck . https://t.co/slovy8uwld,0
puerto rico needs immediate help https://t.co/9uknjelvgf,1
@theyknowvee hurricane wipped out power grid for while country . 3.5 million people now electricity for months they are saying,0
"psa : if you need to check if a loved one in puerto rico is safe , here are numbers to call based on zone https://t.co/fgyksahtau",1
@sentedcruz voted against providing aid for sandy victims he 's asking for it for # hurricaneharvey # inners # dailyshow https://t.co/tysipcanzs,0
"rt mymusicgrind "" wiz khalifa & partynextdoor "" hurricane "" ( wshh exclusive - official audio ) https://t.co/h3xtflf38m """,1
@cbsnews @jamieyuccas i heard cbs is blaming pres trump for the hurricane .. unreal .. cbs has gone over the hill to in https://t.co/cycuwattes,0
president fozard praying for our baseball team in chapel today before they head to houston to work on disaster reli https://t.co/leevylm4nj,1
our chief # science officer michael armen with bakeyah nelson of @airalliancehou as we collected data in houston las https://t.co/6i80fclspg,1
memes poke fun at texans ' embarrassing loss https://t.co/vogpvb9enb via @houstonchron,0
hurricane maria bears down on puerto rico with 155 mph winds : https://t.co/6kf36gksth - nbc news u.s. news # latest,1
3 big corporations accused of shamelessly gouging their customers this hurricane season https://t.co/4abkdcwbxc https://t.co/nbin4vippj,0
so beyonc got wind of janet coming down to houston to visit storm victims so she decided to hightail it on down here too ? girl bye .,1
@davidbegnaud trump is whitewashing the reality of # fema 's inaction in # puertorico . https://t.co/hd4gurxxjv,0
everyone please donate whatever you can to the islands affected by hurricane maria ! !,1
@realdonaldtrump c'mon congress ! trump promised $ 1 million of his own money for texas disaster relief . he needs a t https://t.co/cgultnvwjl,0
@tmobile utter disappointed with your service during and after # irma passed thru miami . could n't communicate anyone . post storm - same,0
"mondays ( at @24hourfitness in houston , tx ) https://t.co/rlit3ls1ki",1
the sun rises on powerful category 5 hurricane # maria after impacting dominca overnight . poised to hit puerto rico https://t.co/7lwtrcaqdh,1
aftermath : major damage # saturdaymorning # harvey # hurricaneharvey # rockport https://t.co/5cn9xt6nxw,1
"this storm is monstrous . and though the winds are dying , the flood threat continues . # harvey # txwx https://t.co/oynhqgwpgn",0
"i added a video to a @youtube playlist https://t.co/8u3lepmbuv heavy flood in india , kasba , bihar",1
# apocalyptic devastation while # 45th # dogwhistles is # shameful at best ! https://t.co/tpoydrbxb8,0
# usatoday rt callergabe : some port aransas residents staying at the local shelter # hurricaneharvey # harvey # harve https://t.co/hy4bzkx90q,0
3 big corporations accused of shamelessly gouging their customers this hurricane season https://t.co/4abkdcwbxc https://t.co/nbin4vippj,1
"us ' federal assets ' sent to puerto rico to sabotage what 's left , to create millions of indentured workers for corporate profits .",0
"as # irma swings west , officials scramble to open shelters - the new york times https://t.co/xrh6lyvywj",1
help fams help students in the aftermath of hurricane harvey ! collection of needed items begins today ! check ... https://t.co/pxtn6fz85i,1
this just in : did @_brendonsmall predict the devastation of the florida hurricanes with scrambles the death dealer ?,0
trump grotesquely blames puerto rico 's humanitarian crisis on ' broken infrastructure ' and ' massive debt ' https://t.co/qnd7qeo9r6,0
when is @realdonaldtrump actually going to deal with his responsibilities as president and send help to puerto rico ?,0
hurricane irma moves by the eastern end of cuba ( video ) - radio cadena agramonte https://t.co/phjzpkxrra,0
houstons unsinkable housing market undaunted by storm houston for six mon ... https://t.co/9rhbbxovtg # career https://t.co/gkssah3sly,1
the kids in room 42 have such big 's ! they donated their own $ to give to # houston . thinking of our friends in tx ! https://t.co/xxdlk6ejbs,0
@queenofbach12 congress continues to not put through an comprehensive infrastructure bill to improve highways ; drai https://t.co/in8bbgmey8,0
what to do if your destination is going to be hit by a hurricane | archives of adventure - travel for the average https://t.co/viiqptveoe,1
"prayers for our caribbean / florida & # eastcoast remain strong , vigilant , cautious & aware blessings to all https://t.co/hzp8ihxtkr",1
horses rescued from hurricane floodwaters in texas could go on auction block unless owner comes forward soon . https://t.co/xynsayk6hh,0
".@king5seattle @kiro7seattle @komonews @alisonmorrowk5 pls report - no news on orca lolita , abandoned to # irma 's mercy https://t.co/9oywobmna0",1
no hurricane has ever scared me ! irma has me shook,0
"cnn 11:54pm cat . 5 maria slams virgin islands , headed for puerto rico 7.1 magnitude quake kills at least 216 in mexico pedram ...",1
"owners leave dogs to die during storm texas authorities wo nt let them get away with it as we all know , ... https://t.co/1fvqmxj9sj",0
""" s.o.s. necesitamos agua / comida ! ! "" aka "" need food / water "" https://t.co/95aoold7ts",1
we 're on our first warning here at hhs and not going anywhere . # adaptandresist https://t.co/fofmj5oqfv,0
the response to hurricane harvey was dismal at best . i do n't understand how we 've been dealing with disasters ... https://t.co/kvtjmuzamf,0
worried about my dad . praying for him and all those about to be affected by # hurricaneirma,1
coverage should be in the faces of lawmakers pr needs us troops on the ground more than visuals https://t.co/qjsrp9jtqv,1
@unicef_uk haiti never gets a chance to recover as one natural disaster follows an another . so tragic .,1
@realdonaldtrump saudi arabia uae qatar should pay these countries for all the killing and terror they have caused https://t.co/yrarcvouhi,0
"@kiwi_cgfx also , close all interior doors . it may save your roof . # maria # puertorico https://t.co/w6p7btoxaz",1
# breaking fema hoping to hire hundreds of texans for harvey relief https://t.co/1xfhqb1zbf,1
"@realdonaldtrump president trump , it is called socialism and bad management and too much government in stupid puerto rico . pray for them !",0
"hurricane irma : florida deputy , corrections sergeant die in head - on crash during storm https://t.co/ufwsspnxek",0
"# gop silence . dotard sent 2 senior officials to assess the damage in p.r. do you have eyes , a brain , functioning ne https://t.co/sse1sd0vh0",1
"dangerous storm surges are expected in florida , with surges of 10 to 15 feet from cape sable to captiva https://t.co/cyhno8ceki",0
"winners , standouts from 2017 houston bbq throwdown . @gregmorago reports on yesterday 's fun : https://t.co/gzs0iqtxck via @houstonchron",1
new freezer drops today @richthekid its bouta be a snow storm ! https://t.co/pj2uvgbh1d,1
"@rodneyjholland1 @johnleguizamo @aynrandpaulryan can they run a business that is 6 ft under water ? or by "" employ ppl https://t.co/n6hh1s77hb",0
# puertorico is 100 % without power after hurricane maria heres why that s a huge problem https://t.co/ddbjy8z66v,1
florida niggas when they hear another hurricane coming https://t.co/btfuc4pr6j,0
@jbminn @mikeisaac what ? he is pointing out the great needs of pr due to not only hurricane but on top of bank deba https://t.co/3vxily01wq,0
.@houstonoem has issued a wireless emergency alert for the spring branch area advising residents of the shelter - in - place order . # hounews,1
"for more resources on hurricane harvey resources , check out @funds4disaster and gcri blog : https://t.co/igjqcadqxo https://t.co/2hm0g2ques",0
"@realdonaldtrump buy hurricane,&hire hurricane . it 's the only made in usa product left out there .",0
5 disaster recovery tips : learning from hurricanes https://t.co/ppzl24ge29 via @networkcomputin # disasterrecovery https://t.co/tisp2fybxh,1
reading @guardian 's hurricane irma liveblog when all of a sudden https://t.co/jpa4d21xcf,0
# floridapowerlightcompany update 1-fpl to shut florida nuclear plants ahead of irma 's winds . read more : https://t.co/erxybdbsyv,0
"she goes on and on through the thread about how the caves in cuba flood , like does she think this is the first hurricane in cuba ?",0
# money # irma cnnmoney brewing runs deep in koch 's family and he 's the sixth generation to become a brewmaster https://t.co/qorqspofxc,1
houston talking tax increase to help with recovery what about billions from fed gov & millions in donations where is that money going ?,0
"@joseph_clm _ @officialjoelf yes , i ' m sure praying to god made him push the hurricane away from you to just kill oth https://t.co/9lehu9jai1",0
"@safeway shout out to you all for keeping food , water etc stocked going into # hurricaneirma and re - opening immediately ! much appreciated !",1
"n - city hurricane hamtaro .. , , ! ! ! kwon soonyoung .. ; https://t.co/p7ch975pc9",1
remember how texas ' gop delegation voted against sandy relief but ny / nj 's delegation voted for harvey relief ? those are new york values .,0
thursday am . hurricane hunters finding max sustained sfc wind estimated 113 mph with cat 3 hurricane # maria . @kmbc https://t.co/poy2pcnt6v,1
# astronomy away from the city and # lightpollution . night of # thunderstorms in the plain . observation of a stellar s https://t.co/oqzc0iqjnl,1
trump ignores 3.4 million u.s. citizens and focuses on football instead # prhumanitariancrisis https://t.co/bae3d0edcn via @thinkprogress,0
@theellenshow @nestorduprey the president needs to release the relief funds now ! we are us citizens in a middle of https://t.co/wir5wkc8m3,0
"prayers with texas , louisiana tonight as # harvey makes landfall as category 4 storm ( max winds 130 mph , 938 mb ) https://t.co/ixf35qrepp",0
"puerto rico is devastated . our countrymen , dying needlessly . "" the freaking debt ! "" https://t.co/0rpb03zpve",0
@realdonaldtrump ask him what he thinks about helping the millions of people suffering in puerto rico ! ! !,0
here 's some not - for - broadcast footage of hurricane harvey . so much damage ! praying for your safety . https://t.co/arlmybybgw,1
"acting sec . duke supports # hurricaneharvey relief efforts during visit to # texas with @gregabbott_tx , @speakerryan https://t.co/kcz66e0a1f",1
katia irma jose ( 2017 ) the day after tomorrow ( 2004 ) : https://t.co/lr5nxht3nq via @youtube,1
you can also still make a difference for those impacted by # hurricaneharvey ! https://t.co/v0capvis1d @ccharitiesusa https://t.co/n2jejgwe9r,1
# coppednews # fbcoppednews special report : the bankrupt utility behind puerto ricos power crisis https://t.co/zaaur6dnzo,0
@realdonaldtrump seriously ? you tweet to insult american people and blame a hurricane on us ?,0
getting food to help the dogs that are coming into halifax from hurricane harvey https://t.co/2jgggrsecg,1
' disaster snap ' open to people affected by hurricane harvey - ktrk - tv https://t.co/p2mfobveow,1
.@jjwatt houston flood disaster relief fund hits $ 31 m https://t.co/hk8iuaheya # harvey # hurricaneharvey,1
' the winds are merciless ' : hurricane maria hits puerto rico after slamming dominica https://t.co/zmtkxcovkz news ca,1
"@realdonaldtrump what about puerto rico ! ! ? ? us citizens need help ! they need clean water , food & electricity ! ! what https://t.co/tyyp53vofa",0
"@tedcruz # todayslimerick voted no on $ for sandy , but harvey relief is dandy . he liked a porn tweet cuz he 's slow o https://t.co/syw6jzanp3",0
photos : young saudis come to the aid of hurricane harvey survivors in houston - al arabiya english https://t.co/zaxfpw6ud5,1
"jonesshafroth act : act of us congress , signed by pres wilson , created senate of puerto rico , granted us citizenship https://t.co/1ieqeg8kad",1
@joyannreid which is more disrespectful kneeling during the anthem or ignoring 3.5 . million americans in need in pu https://t.co/oxmytyyrwb,0
@adzcampbell91 iv been a gooner for 30 years been sat through the graham years ricoh year houston term will still b https://t.co/lbf5m4jghc,1
the latest prepper logic news ! https://t.co/5h6qkjnaza # hurricaneirma,1
@realdonaldtrump you do realize that the 3.5 million folks from puerto rico are american citizens right ?,0
ok everyone . on the count of three the flag and kneeling takes a back seat to helping puerto rico until further notice . 1 ... 2 .... 3 .,1
"( via https://t.co/npld7drr9u ) cnn : fema administrator on # harvey : this is going to be a devastating , long , frus https://t.co/j8ijztkovj",0
"all americans must love israel - and now news mom donates over 1,000 ounces of breast milk to hurricane harvey vict https://t.co/dtfzbygrsq",1
screaming illegals surround pelosi at presser - security forced to shuffle her to safety ( video ) https://t.co/r9a1v4n8ed,0
destiny 2 how to combine class abilities and skills to do the most damage as a team https://t.co/pbganbeqi6 # ps4 # xbox # gaming # news,1
"@facebook and @instagram not working , which is great timing with # harvey happening & people need to get in touch with loved ones . # fixit",0
@cnn cnn in wrong place as usual . east coast florida being spared the worst of it,0
as category 3 hurricane # harvey targets texasremember that 45 wants to cut fema 11 % to pay for a wall we do nt need https://t.co/qbwopveqtg,0
prayers for your family and everyone in puerto rico @george_conditt from all the illini fans ! https://t.co/nxd34kdt0n,1
"capitalism - as financialization , unregulated , is a human - made hurricane that wreaks havoc wherever it goes . it must be contained , controlled .",0
disaster are key trigger times for those who struggle with addiction ! how telemedicine is changing disaster relief https://t.co/qn6a2kbcnt,1
just like you sent help when our heroes were under attack in # benghazi ? rip stevens / smith / woods / doherty https://t.co/be4svxxdr4,0
"@jedwardholley @cher fuck the nfl . they used the fbi to suppress evidence regarding brain damage caused by 1,000 's https://t.co/hzo9ihfbqn",0
miami mayor rips pruitt climate change criticism in light of irma https://t.co/d0krp57lte https://t.co/4midxm900h,0
"bt0995 : houston , al ( 1952 ) set in top of concrete monument https://t.co/miboflclay",1
"@miamiseaquarium please update us on lolita and her stadium , you must have info by now on if she survived irma . # blackfish # slave",0
unable to watch ftwd cuz hurricane irma # hurricaneirma # feartwd,0
"npr : nearly a week after hurricane maria hit puerto rico , some areas , including catao , are still flooded https://t.co/8c8v1zsnwf",1
hurricane warning issued september 11 at 5:59am edt until further notice by nws https://t.co/du2grchdj2 # flwx,1
"( other side notes include a idea i had for said floods in certain areas , via moving the clean rain water .. or mostly clean to areas with dry",1
@hausmuva at cnn feel like it 's okay to send a reporter to fl to shove microphones in folks faces at relief centers . you 're rightfully wary .,0
@waterstep is working with responders to provide h2o and sanitation solutions to those affected by hurricane harvey https://t.co/hbltrkpzak,1
dear @realdonaldtrump as president of the united states you should send help to puerto rico vs. being worried about the nfl .,0
"puerto rico in crisis , possible war with north korea and this toddler talking about ... nfl ? https://t.co/xhdb0f0h6n",0
# spc issues mcd 1636 : south and central florida https://t.co/v3v3hdkrav,1
"if president @hillaryclinton was in her rightful office , puerto rico would nt be ignored by washington . @realdonaldtrump is a disgrace .",0
@realdonaldtrump puerto rico is still suffering and you still have n't moved on . start abiding by those precious val https://t.co/0nfah0ngpk,0
health risk and other major issues arise after severe weather and hurricane events : https://t.co/aoaaherncq via @youtube,1
cat 5 160 mph # irma,0
odd letter highlights fiduciary concerns in puerto rico https://t.co/avxseebp1w # investments # investmentnews,0
in pictures : hurricane maria pummels puerto rico https://t.co/0vsy264swj - # maria # puertorico,1
"# trump tweets that # puertorico has "" massive debt "" - like every time you declared bankruptcy donald ? https://t.co/swac0ihfik # tuesdaythoughts",0
in case you missed this shit ! he wants his buddy osteen to be repaid for helping harvey victims ! https://t.co/hlqomv2n8t,0
@xfinity it 's sad that you could n't provide cable and wifi during irma .,0
"@beerbikesbbq @realdonaldtrump @cnn hey dumb ass already 2 hurricanes on our mainland , have puerto rico talk to the https://t.co/4nemzyvbmg",0
"@andy they were covering the hurricane , but thanks for venting .",0
"n korea may drop h - bomb pr floods , no elec mexico shaken us $ 20t+ debt irma / harvey , russia , china , brexit so obv , https://t.co/p63cojsfmy",0
# fakenews actually mocking the disaster in # florida # shame on # milo # disgusting along with # anncoulter https://t.co/iqlwtnxjml,0
# hurricaneharvey # flashflood # warn>3:45amct incl # portland # ingleside # rockport # texas # harvey # harveystorm https://t.co/u62k3l3w9s,1
"come out tomorrow to emeryville from 5 - 8p , drop off donations for those impacted by hurricane harvey . @kicknit _ https://t.co/8u5rtocwwm",1
our country 's dire distress on climate : us flag with union down https://t.co/nhjstxh1zn :,0
aak me a question or talk abt a topic ! or send me prayers or w / e abt this hurricane please,0
play @pocketmortys . do good . tomorrow all proceeds from # pocketmortys will go to hurricane relief efforts in puerto https://t.co/gqg1b1mg6k,1
"currently at work ... @ houston , texas https://t.co/ycoifn5vqj",0
reading @guardian 's hurricane irma liveblog when all of a sudden https://t.co/jpa4d21xcf,1
@dermotmurnaghan @skynews did anyone question if there should be relief for the victims of harvey in texas - a rich state ? you 're an idiot .,0
